Date,Prix,Variation 24h
2014-07-08,1 BTC = 465.40000000€,0.74%
2014-07-09,1 BTC = 457.89000000€,-1.64%
2014-07-10,1 BTC = 457.56000000€,-0.07%
2014-07-11,1 BTC = 457.46000000€,-0.02%
2014-07-12,1 BTC = 451.97000000€,-1.21%
2014-07-13,1 BTC = 463.24000000€,2.43%
2014-07-14,1 BTC = 467.03000000€,0.81%
2014-07-15,1 BTC = 461.70000000€,-1.15%
2014-07-16,1 BTC = 454.32000000€,-1.62%
2014-07-17,1 BTC = 458.13000000€,0.83%
2014-07-18,1 BTC = 456.43000000€,-0.37%
2014-07-19,1 BTC = 460.00000000€,0.78%
2014-07-20,1 BTC = 462.86000000€,0.62%
2014-07-21,1 BTC = 462.08000000€,-0.17%
2014-07-22,1 BTC = 458.55000000€,-0.77%
2014-07-23,1 BTC = 456.38000000€,-0.48%
2014-07-24,1 BTC = 460.57000000€,0.91%
2014-07-25,1 BTC = 459.44000000€,-0.25%
2014-07-26,1 BTC = 448.24000000€,-2.5%
2014-07-27,1 BTC = 449.51000000€,0.28%
2014-07-28,1 BTC = 445.81000000€,-0.83%
2014-07-29,1 BTC = 443.78000000€,-0.46%
2014-07-30,1 BTC = 439.12000000€,-1.06%
2014-07-31,1 BTC = 436.82000000€,-0.53%
2014-08-01,1 BTC = 421.20000000€,-3.71%
2014-08-02,1 BTC = 436.27000000€,3.45%
2014-08-03,1 BTC = 445.47000000€,2.07%
2014-08-04,1 BTC = 440.63000000€,-1.1%
2014-08-05,1 BTC = 436.27000000€,-1%
2014-08-06,1 BTC = 437.92000000€,0.38%
2014-08-07,1 BTC = 435.38000000€,-0.58%
2014-08-08,1 BTC = 434.24000000€,-0.26%
2014-08-09,1 BTC = 439.06000000€,1.1%
2014-08-10,1 BTC = 440.93000000€,0.42%
2014-08-11,1 BTC = 438.74000000€,-0.5%
2014-08-12,1 BTC = 438.43000000€,-0.07%
2014-08-13,1 BTC = 430.67000000€,-1.8%
2014-08-14,1 BTC = 428.29000000€,-0.56%
2014-08-15,1 BTC = 411.11000000€,-4.18%
2014-08-16,1 BTC = 382.63000000€,-7.44%
2014-08-17,1 BTC = 376.90000000€,-1.52%
2014-08-18,1 BTC = 396.28000000€,4.89%
2014-08-19,1 BTC = 376.43000000€,-5.27%
2014-08-20,1 BTC = 351.65000000€,-7.05%
2014-08-21,1 BTC = 370.00000000€,4.96%
2014-08-22,1 BTC = 393.18000000€,5.9%
2014-08-23,1 BTC = 395.87000000€,0.68%
2014-08-24,1 BTC = 392.57000000€,-0.84%
2014-08-25,1 BTC = 379.74000000€,-3.38%
2014-08-26,1 BTC = 388.00000000€,2.13%
2014-08-27,1 BTC = 382.03000000€,-1.56%
2014-08-28,1 BTC = 388.19000000€,1.59%
2014-08-29,1 BTC = 387.64000000€,-0.14%
2014-08-30,1 BTC = 382.91000000€,-1.24%
2014-08-31,1 BTC = 386.60000000€,0.95%
2014-09-01,1 BTC = 384.20000000€,-0.62%
2014-09-02,1 BTC = 368.43000000€,-4.28%
2014-09-03,1 BTC = 364.22000000€,-1.16%
2014-09-04,1 BTC = 361.35000000€,-0.79%
2014-09-05,1 BTC = 361.60000000€,0.07%
2014-09-06,1 BTC = 379.72000000€,4.77%
2014-09-07,1 BTC = 369.91000000€,-2.65%
2014-09-08,1 BTC = 371.31000000€,0.38%
2014-09-09,1 BTC = 371.31000000€,0%
2014-09-10,1 BTC = 365.21000000€,-1.67%
2014-09-11,1 BTC = 366.01000000€,0.22%
2014-09-12,1 BTC = 368.35000000€,0.64%
2014-09-13,1 BTC = 369.29000000€,0.25%
2014-09-14,1 BTC = 367.49000000€,-0.49%
2014-09-15,1 BTC = 365.85000000€,-0.45%
2014-09-16,1 BTC = 364.67000000€,-0.32%
2014-09-17,1 BTC = 363.43000000€,-0.34%
2014-09-18,1 BTC = 359.56000000€,-1.08%
2014-09-19,1 BTC = 353.98000000€,-1.58%
2014-09-20,1 BTC = 331.25000000€,-6.86%
2014-09-21,1 BTC = 308.98000000€,-7.21%
2014-09-22,1 BTC = 320.71000000€,3.66%
2014-09-23,1 BTC = 311.72000000€,-2.88%
2014-09-24,1 BTC = 312.12000000€,0.13%
2014-09-25,1 BTC = 340.77000000€,8.41%
2014-09-26,1 BTC = 328.27000000€,-3.81%
2014-09-27,1 BTC = 319.65000000€,-2.7%
2014-09-28,1 BTC = 318.65000000€,-0.31%
2014-09-29,1 BTC = 314.83000000€,-1.21%
2014-09-30,1 BTC = 296.87000000€,-6.05%
2014-10-01,1 BTC = 291.70000000€,-1.77%
2014-10-02,1 BTC = 307.35000000€,5.09%
2014-10-03,1 BTC = 303.39000000€,-1.31%
2014-10-04,1 BTC = 294.37000000€,-3.06%
2014-10-05,1 BTC = 284.22000000€,-3.57%
2014-10-06,1 BTC = 263.45000000€,-7.88%
2014-10-07,1 BTC = 258.56000000€,-1.89%
2014-10-08,1 BTC = 261.62000000€,1.17%
2014-10-09,1 BTC = 263.13000000€,0.57%
2014-10-10,1 BTC = 280.45000000€,6.18%
2014-10-11,1 BTC = 283.47000000€,1.07%
2014-10-12,1 BTC = 285.52000000€,0.72%
2014-10-13,1 BTC = 288.56000000€,1.05%
2014-10-14,1 BTC = 298.47000000€,3.32%
2014-10-15,1 BTC = 306.11000000€,2.5%
2014-10-16,1 BTC = 316.85000000€,3.39%
2014-10-17,1 BTC = 310.88000000€,-1.92%
2014-10-18,1 BTC = 300.26000000€,-3.54%
2014-10-19,1 BTC = 299.53000000€,-0.24%
2014-10-20,1 BTC = 306.62000000€,2.31%
2014-10-21,1 BTC = 304.33000000€,-0.75%
2014-10-22,1 BTC = 299.20000000€,-1.71%
2014-10-23,1 BTC = 302.46000000€,1.08%
2014-10-24,1 BTC = 301.09000000€,-0.46%
2014-10-25,1 BTC = 283.53000000€,-6.19%
2014-10-26,1 BTC = 282.96000000€,-0.2%
2014-10-27,1 BTC = 276.64000000€,-2.28%
2014-10-28,1 BTC = 281.63000000€,1.77%
2014-10-29,1 BTC = 280.74000000€,-0.32%
2014-10-30,1 BTC = 281.89000000€,0.41%
2014-10-31,1 BTC = 268.03000000€,-5.17%
2014-11-01,1 BTC = 274.10000000€,2.21%
2014-11-02,1 BTC = 270.01000000€,-1.51%
2014-11-03,1 BTC = 260.08000000€,-3.82%
2014-11-04,1 BTC = 259.84000000€,-0.09%
2014-11-05,1 BTC = 260.64000000€,0.31%
2014-11-06,1 BTC = 261.41000000€,0.29%
2014-11-07,1 BTC = 269.98000000€,3.17%
2014-11-08,1 BTC = 278.41000000€,3.03%
2014-11-09,1 BTC = 274.30000000€,-1.5%
2014-11-10,1 BTC = 275.00000000€,0.25%
2014-11-11,1 BTC = 286.67000000€,4.07%
2014-11-12,1 BTC = 290.72000000€,1.39%
2014-11-13,1 BTC = 293.86000000€,1.07%
2014-11-14,1 BTC = 326.18000000€,9.91%
2014-11-15,1 BTC = 331.74000000€,1.68%
2014-11-16,1 BTC = 318.33000000€,-4.21%
2014-11-17,1 BTC = 306.19000000€,-3.96%
2014-11-18,1 BTC = 309.99000000€,1.23%
2014-11-19,1 BTC = 311.34000000€,0.43%
2014-11-20,1 BTC = 302.93000000€,-2.78%
2014-11-21,1 BTC = 303.89000000€,0.32%
2014-11-22,1 BTC = 285.82000000€,-6.32%
2014-11-23,1 BTC = 284.05000000€,-0.62%
2014-11-24,1 BTC = 287.06000000€,1.05%
2014-11-25,1 BTC = 296.20000000€,3.09%
2014-11-26,1 BTC = 304.58000000€,2.75%
2014-11-27,1 BTC = 301.42000000€,-1.05%
2014-11-28,1 BTC = 294.48000000€,-2.36%
2014-11-29,1 BTC = 296.01000000€,0.52%
2014-11-30,1 BTC = 302.66000000€,2.2%
2014-12-01,1 BTC = 303.46000000€,0.26%
2014-12-02,1 BTC = 301.01000000€,-0.81%
2014-12-03,1 BTC = 303.48000000€,0.81%
2014-12-04,1 BTC = 304.56000000€,0.35%
2014-12-05,1 BTC = 304.18000000€,-0.12%
2014-12-06,1 BTC = 298.84000000€,-1.79%
2014-12-07,1 BTC = 304.78000000€,1.95%
2014-12-08,1 BTC = 302.93000000€,-0.61%
2014-12-09,1 BTC = 303.87000000€,0.31%
2014-12-10,1 BTC = 296.66000000€,-2.43%
2014-12-11,1 BTC = 285.88000000€,-3.77%
2014-12-12,1 BTC = 282.45000000€,-1.21%
2014-12-13,1 BTC = 283.64000000€,0.42%
2014-12-14,1 BTC = 286.24000000€,0.91%
2014-12-15,1 BTC = 282.45000000€,-1.34%
2014-12-16,1 BTC = 284.19000000€,0.61%
2014-12-17,1 BTC = 280.63000000€,-1.27%
2014-12-18,1 BTC = 267.19000000€,-5.03%
2014-12-19,1 BTC = 261.87000000€,-2.03%
2014-12-20,1 BTC = 255.21000000€,-2.61%
2014-12-21,1 BTC = 260.94000000€,2.2%
2014-12-22,1 BTC = 268.97000000€,2.99%
2014-12-23,1 BTC = 262.84000000€,-2.33%
2014-12-24,1 BTC = 271.15000000€,3.06%
2014-12-25,1 BTC = 274.81000000€,1.33%
2014-12-26,1 BTC = 264.68000000€,-3.83%
2014-12-27,1 BTC = 261.75000000€,-1.12%
2014-12-28,1 BTC = 270.56000000€,3.26%
2014-12-29,1 BTC = 261.34000000€,-3.53%
2014-12-30,1 BTC = 262.25000000€,0.35%
2014-12-31,1 BTC = 258.82000000€,-1.33%
2015-01-01,1 BTC = 257.04000000€,-0.69%
2015-01-02,1 BTC = 264.93000000€,2.98%
2015-01-03,1 BTC = 262.66000000€,-0.86%
2015-01-04,1 BTC = 264.51000000€,0.7%
2015-01-05,1 BTC = 241.29000000€,-9.62%
2015-01-06,1 BTC = 223.06000000€,-8.17%
2015-01-07,1 BTC = 229.58000000€,2.84%
2015-01-08,1 BTC = 241.68000000€,5.01%
2015-01-09,1 BTC = 250.05000000€,3.35%
2015-01-10,1 BTC = 241.72000000€,-3.45%
2015-01-11,1 BTC = 246.20000000€,1.82%
2015-01-12,1 BTC = 234.06000000€,-5.19%
2015-01-13,1 BTC = 228.02000000€,-2.65%
2015-01-14,1 BTC = 227.09000000€,-0.41%
2015-01-15,1 BTC = 192.31000000€,-18.09%
2015-01-16,1 BTC = 149.91000000€,-28.28%
2015-01-17,1 BTC = 183.81000000€,18.44%
2015-01-18,1 BTC = 179.94000000€,-2.15%
2015-01-19,1 BTC = 174.43000000€,-3.16%
2015-01-20,1 BTC = 182.05000000€,4.19%
2015-01-21,1 BTC = 188.12000000€,3.23%
2015-01-22,1 BTC = 183.91000000€,-2.29%
2015-01-23,1 BTC = 196.88000000€,6.59%
2015-01-24,1 BTC = 204.59000000€,3.77%
2015-01-25,1 BTC = 207.79000000€,1.54%
2015-01-26,1 BTC = 220.42000000€,5.73%
2015-01-27,1 BTC = 227.59000000€,3.15%
2015-01-28,1 BTC = 239.97000000€,5.16%
2015-01-29,1 BTC = 232.93000000€,-3.02%
2015-01-30,1 BTC = 212.53000000€,-9.6%
2015-01-31,1 BTC = 206.19000000€,-3.07%
2015-02-01,1 BTC = 206.03000000€,-0.08%
2015-02-02,1 BTC = 194.22000000€,-6.08%
2015-02-03,1 BTC = 200.84000000€,3.3%
2015-02-04,1 BTC = 209.90000000€,4.32%
2015-02-05,1 BTC = 200.75000000€,-4.56%
2015-02-06,1 BTC = 201.25000000€,0.25%
2015-02-07,1 BTC = 191.22000000€,-5.25%
2015-02-08,1 BTC = 197.30000000€,3.08%
2015-02-09,1 BTC = 200.40000000€,1.55%
2015-02-10,1 BTC = 197.04000000€,-1.71%
2015-02-11,1 BTC = 194.91000000€,-1.09%
2015-02-12,1 BTC = 195.50000000€,0.3%
2015-02-13,1 BTC = 195.18000000€,-0.16%
2015-02-14,1 BTC = 196.04000000€,0.44%
2015-02-15,1 BTC = 203.58000000€,3.7%
2015-02-16,1 BTC = 222.03000000€,8.31%
2015-02-17,1 BTC = 204.96000000€,-8.33%
2015-02-18,1 BTC = 208.17000000€,1.54%
2015-02-19,1 BTC = 213.72000000€,2.6%
2015-02-20,1 BTC = 206.45000000€,-3.52%
2015-02-21,1 BTC = 212.92000000€,3.04%
2015-02-22,1 BTC = 214.86000000€,0.9%
2015-02-23,1 BTC = 214.21000000€,-0.3%
2015-02-24,1 BTC = 207.61000000€,-3.18%
2015-02-25,1 BTC = 211.16000000€,1.68%
2015-02-26,1 BTC = 209.32000000€,-0.88%
2015-02-27,1 BTC = 209.91000000€,0.28%
2015-02-28,1 BTC = 210.06000000€,0.07%
2015-03-01,1 BTC = 221.50000000€,5.16%
2015-03-02,1 BTC = 220.78000000€,-0.33%
2015-03-03,1 BTC = 224.59000000€,1.7%
2015-03-04,1 BTC = 242.72000000€,7.47%
2015-03-05,1 BTC = 247.94000000€,2.11%
2015-03-06,1 BTC = 245.42000000€,-1.03%
2015-03-07,1 BTC = 248.40000000€,1.2%
2015-03-08,1 BTC = 248.74000000€,0.14%
2015-03-09,1 BTC = 252.96000000€,1.67%
2015-03-10,1 BTC = 251.39000000€,-0.62%
2015-03-11,1 BTC = 265.39000000€,5.28%
2015-03-12,1 BTC = 270.87000000€,2.02%
2015-03-13,1 BTC = 278.72000000€,2.82%
2015-03-14,1 BTC = 278.62000000€,-0.04%
2015-03-15,1 BTC = 273.38000000€,-1.92%
2015-03-16,1 BTC = 269.87000000€,-1.3%
2015-03-17,1 BTC = 273.10000000€,1.18%
2015-03-18,1 BTC = 275.27000000€,0.79%
2015-03-19,1 BTC = 270.05000000€,-1.93%
2015-03-20,1 BTC = 242.09000000€,-11.55%
2015-03-21,1 BTC = 249.41000000€,2.93%
2015-03-22,1 BTC = 245.53000000€,-1.58%
2015-03-23,1 BTC = 242.62000000€,-1.2%
2015-03-24,1 BTC = 249.25000000€,2.66%
2015-03-25,1 BTC = 244.26000000€,-2.04%
2015-03-26,1 BTC = 230.44000000€,-6%
2015-03-27,1 BTC = 226.80000000€,-1.6%
2015-03-28,1 BTC = 230.54000000€,1.62%
2015-03-29,1 BTC = 228.33000000€,-0.97%
2015-03-30,1 BTC = 232.46000000€,1.78%
2015-03-31,1 BTC = 224.16000000€,-3.7%
2015-04-01,1 BTC = 229.01000000€,2.12%
2015-04-02,1 BTC = 228.45000000€,-0.25%
2015-04-03,1 BTC = 228.92000000€,0.21%
2015-04-04,1 BTC = 232.73000000€,1.64%
2015-04-05,1 BTC = 231.86000000€,-0.38%
2015-04-06,1 BTC = 232.63000000€,0.33%
2015-04-07,1 BTC = 235.99000000€,1.42%
2015-04-08,1 BTC = 231.88000000€,-1.77%
2015-04-09,1 BTC = 233.17000000€,0.55%
2015-04-10,1 BTC = 227.42000000€,-2.53%
2015-04-11,1 BTC = 227.87000000€,0.2%
2015-04-12,1 BTC = 223.16000000€,-2.11%
2015-04-13,1 BTC = 223.09000000€,-0.03%
2015-04-14,1 BTC = 223.43000000€,0.15%
2015-04-15,1 BTC = 214.13000000€,-4.34%
2015-04-16,1 BTC = 206.47000000€,-3.71%
2015-04-17,1 BTC = 210.04000000€,1.7%
2015-04-18,1 BTC = 213.06000000€,1.42%
2015-04-19,1 BTC = 208.69000000€,-2.09%
2015-04-20,1 BTC = 207.21000000€,-0.71%
2015-04-21,1 BTC = 208.09000000€,0.42%
2015-04-22,1 BTC = 208.81000000€,0.34%
2015-04-23,1 BTC = 218.21000000€,4.31%
2015-04-24,1 BTC = 217.41000000€,-0.37%
2015-04-25,1 BTC = 215.84000000€,-0.73%
2015-04-26,1 BTC = 213.22000000€,-1.23%
2015-04-27,1 BTC = 208.06000000€,-2.48%
2015-04-28,1 BTC = 203.44000000€,-2.27%
2015-04-29,1 BTC = 209.80000000€,3.03%
2015-04-30,1 BTC = 206.80000000€,-1.45%
2015-05-01,1 BTC = 204.71000000€,-1.02%
2015-05-02,1 BTC = 210.57000000€,2.78%
2015-05-03,1 BTC = 208.28000000€,-1.1%
2015-05-04,1 BTC = 210.85000000€,1.22%
2015-05-05,1 BTC = 213.42000000€,1.2%
2015-05-06,1 BTC = 213.51000000€,0.04%
2015-05-07,1 BTC = 210.78000000€,-1.3%
2015-05-08,1 BTC = 203.68000000€,-3.49%
2015-05-09,1 BTC = 210.71000000€,3.34%
2015-05-10,1 BTC = 212.64000000€,0.91%
2015-05-11,1 BTC = 214.76000000€,0.99%
2015-05-12,1 BTC = 212.96000000€,-0.85%
2015-05-13,1 BTC = 215.37000000€,1.12%
2015-05-14,1 BTC = 215.17000000€,-0.09%
2015-05-15,1 BTC = 208.80000000€,-3.05%
2015-05-16,1 BTC = 208.62000000€,-0.09%
2015-05-17,1 BTC = 209.02000000€,0.19%
2015-05-18,1 BTC = 206.40000000€,-1.27%
2015-05-19,1 BTC = 205.24000000€,-0.57%
2015-05-20,1 BTC = 203.18000000€,-1.01%
2015-05-21,1 BTC = 205.05000000€,0.91%
2015-05-22,1 BTC = 207.69000000€,1.27%
2015-05-23,1 BTC = 209.30000000€,0.77%
2015-05-24,1 BTC = 212.33000000€,1.43%
2015-05-25,1 BTC = 210.32000000€,-0.96%
2015-05-26,1 BTC = 214.14000000€,1.78%
2015-05-27,1 BTC = 212.64000000€,-0.71%
2015-05-28,1 BTC = 214.45000000€,0.84%
2015-05-29,1 BTC = 213.85000000€,-0.28%
2015-05-30,1 BTC = 215.37000000€,0.71%
2015-05-31,1 BTC = 214.45000000€,-0.43%
2015-06-01,1 BTC = 212.07000000€,-1.12%
2015-06-02,1 BTC = 208.44000000€,-1.74%
2015-06-03,1 BTC = 204.19000000€,-2.08%
2015-06-04,1 BTC = 203.87000000€,-0.16%
2015-06-05,1 BTC = 200.36000000€,-1.75%
2015-06-06,1 BTC = 198.80000000€,-0.78%
2015-06-07,1 BTC = 201.32000000€,1.25%
2015-06-08,1 BTC = 201.93000000€,0.3%
2015-06-09,1 BTC = 200.78000000€,-0.57%
2015-06-10,1 BTC = 201.32000000€,0.27%
2015-06-11,1 BTC = 202.36000000€,0.51%
2015-06-12,1 BTC = 201.83000000€,-0.26%
2015-06-13,1 BTC = 203.29000000€,0.72%
2015-06-14,1 BTC = 203.61000000€,0.16%
2015-06-15,1 BTC = 203.64000000€,0.01%
2015-06-16,1 BTC = 205.20000000€,0.76%
2015-06-17,1 BTC = 208.27000000€,1.47%
2015-06-18,1 BTC = 217.11000000€,4.07%
2015-06-19,1 BTC = 216.64000000€,-0.22%
2015-06-20,1 BTC = 217.31000000€,0.31%
2015-06-21,1 BTC = 215.11000000€,-1.02%
2015-06-22,1 BTC = 214.45000000€,-0.31%
2015-06-23,1 BTC = 213.61000000€,-0.39%
2015-06-24,1 BTC = 216.92000000€,1.53%
2015-06-25,1 BTC = 217.07000000€,0.07%
2015-06-26,1 BTC = 214.95000000€,-0.99%
2015-06-27,1 BTC = 215.50000000€,0.26%
2015-06-28,1 BTC = 217.06000000€,0.72%
2015-06-29,1 BTC = 223.52000000€,2.89%
2015-06-30,1 BTC = 225.78000000€,1%
2015-07-01,1 BTC = 229.24000000€,1.51%
2015-07-02,1 BTC = 237.18000000€,3.35%
2015-07-03,1 BTC = 233.67000000€,-1.5%
2015-07-04,1 BTC = 229.79000000€,-1.69%
2015-07-05,1 BTC = 231.16000000€,0.59%
2015-07-06,1 BTC = 234.33000000€,1.35%
2015-07-07,1 BTC = 244.46000000€,4.14%
2015-07-08,1 BTC = 244.22000000€,-0.1%
2015-07-09,1 BTC = 242.82000000€,-0.58%
2015-07-10,1 BTC = 243.81000000€,0.41%
2015-07-11,1 BTC = 245.00000000€,0.49%
2015-07-12,1 BTC = 256.45000000€,4.46%
2015-07-13,1 BTC = 262.05000000€,2.14%
2015-07-14,1 BTC = 278.88000000€,6.03%
2015-07-15,1 BTC = 264.02000000€,-5.63%
2015-07-16,1 BTC = 260.87000000€,-1.21%
2015-07-17,1 BTC = 259.23000000€,-0.63%
2015-07-18,1 BTC = 254.96000000€,-1.67%
2015-07-19,1 BTC = 257.20000000€,0.87%
2015-07-20,1 BTC = 254.26000000€,-1.16%
2015-07-21,1 BTC = 252.70000000€,-0.62%
2015-07-22,1 BTC = 255.00000000€,0.9%
2015-07-23,1 BTC = 251.98000000€,-1.2%
2015-07-24,1 BTC = 253.17000000€,0.47%
2015-07-25,1 BTC = 251.50000000€,-0.66%
2015-07-26,1 BTC = 260.92000000€,3.61%
2015-07-27,1 BTC = 262.29000000€,0.52%
2015-07-28,1 BTC = 263.94000000€,0.63%
2015-07-29,1 BTC = 263.33000000€,-0.23%
2015-07-30,1 BTC = 264.96000000€,0.62%
2015-07-31,1 BTC = 262.69000000€,-0.86%
2015-08-01,1 BTC = 263.44000000€,0.28%
2015-08-02,1 BTC = 259.32000000€,-1.59%
2015-08-03,1 BTC = 258.02000000€,-0.5%
2015-08-04,1 BTC = 258.16000000€,0.05%
2015-08-05,1 BTC = 259.15000000€,0.38%
2015-08-06,1 BTC = 261.29000000€,0.82%
2015-08-07,1 BTC = 259.36000000€,-0.74%
2015-08-08,1 BTC = 255.71000000€,-1.43%
2015-08-09,1 BTC = 256.25000000€,0.21%
2015-08-10,1 BTC = 240.20000000€,-6.68%
2015-08-11,1 BTC = 243.91000000€,1.52%
2015-08-12,1 BTC = 241.68000000€,-0.92%
2015-08-13,1 BTC = 245.76000000€,1.66%
2015-08-14,1 BTC = 242.77000000€,-1.23%
2015-08-15,1 BTC = 238.63000000€,-1.73%
2015-08-16,1 BTC = 241.48000000€,1.18%
2015-08-17,1 BTC = 239.01000000€,-1.03%
2015-08-18,1 BTC = 236.59000000€,-1.02%
2015-08-19,1 BTC = 234.69000000€,-0.81%
2015-08-20,1 BTC = 230.01000000€,-2.03%
2015-08-21,1 BTC = 206.99000000€,-11.12%
2015-08-22,1 BTC = 212.13000000€,2.42%
2015-08-23,1 BTC = 207.26000000€,-2.35%
2015-08-24,1 BTC = 204.49000000€,-1.35%
2015-08-25,1 BTC = 201.67000000€,-1.4%
2015-08-26,1 BTC = 186.01000000€,-8.42%
2015-08-27,1 BTC = 194.68000000€,4.45%
2015-08-28,1 BTC = 200.81000000€,3.05%
2015-08-29,1 BTC = 199.84000000€,-0.49%
2015-08-30,1 BTC = 208.18000000€,4.01%
2015-08-31,1 BTC = 205.06000000€,-1.52%
2015-09-01,1 BTC = 204.65000000€,-0.2%
2015-09-02,1 BTC = 206.19000000€,0.75%
2015-09-03,1 BTC = 202.54000000€,-1.8%
2015-09-04,1 BTC = 204.71000000€,1.06%
2015-09-05,1 BTC = 203.59000000€,-0.55%
2015-09-06,1 BTC = 207.19000000€,1.74%
2015-09-07,1 BTC = 211.32000000€,1.95%
2015-09-08,1 BTC = 215.57000000€,1.97%
2015-09-09,1 BTC = 214.71000000€,-0.4%
2015-09-10,1 BTC = 217.95000000€,1.49%
2015-09-11,1 BTC = 213.29000000€,-2.18%
2015-09-12,1 BTC = 212.22000000€,-0.5%
2015-09-13,1 BTC = 212.81000000€,0.28%
2015-09-14,1 BTC = 209.31000000€,-1.67%
2015-09-15,1 BTC = 203.40000000€,-2.91%
2015-09-16,1 BTC = 204.14000000€,0.36%
2015-09-17,1 BTC = 204.70000000€,0.27%
2015-09-18,1 BTC = 202.85000000€,-0.91%
2015-09-19,1 BTC = 204.49000000€,0.8%
2015-09-20,1 BTC = 205.79000000€,0.63%
2015-09-21,1 BTC = 203.71000000€,-1.02%
2015-09-22,1 BTC = 204.80000000€,0.53%
2015-09-23,1 BTC = 202.46000000€,-1.16%
2015-09-24,1 BTC = 206.44000000€,1.93%
2015-09-25,1 BTC = 205.53000000€,-0.44%
2015-09-26,1 BTC = 208.81000000€,1.57%
2015-09-27,1 BTC = 209.73000000€,0.44%
2015-09-28,1 BTC = 209.17000000€,-0.27%
2015-09-29,1 BTC = 207.77000000€,-0.67%
2015-09-30,1 BTC = 213.23000000€,2.56%
2015-10-01,1 BTC = 211.19000000€,-0.97%
2015-10-02,1 BTC = 211.14000000€,-0.02%
2015-10-03,1 BTC = 212.93000000€,0.84%
2015-10-04,1 BTC = 211.22000000€,-0.81%
2015-10-05,1 BTC = 212.56000000€,0.63%
2015-10-06,1 BTC = 212.64000000€,0.04%
2015-10-07,1 BTC = 214.49000000€,0.86%
2015-10-08,1 BTC = 218.48000000€,1.83%
2015-10-09,1 BTC = 216.63000000€,-0.85%
2015-10-10,1 BTC = 215.38000000€,-0.58%
2015-10-11,1 BTC = 215.57000000€,0.09%
2015-10-12,1 BTC = 215.61000000€,0.02%
2015-10-13,1 BTC = 217.26000000€,0.76%
2015-10-14,1 BTC = 216.49000000€,-0.36%
2015-10-15,1 BTC = 218.23000000€,0.8%
2015-10-16,1 BTC = 220.17000000€,0.88%
2015-10-17,1 BTC = 223.13000000€,1.33%
2015-10-18,1 BTC = 230.51000000€,3.2%
2015-10-19,1 BTC = 235.51000000€,2.12%
2015-10-20,1 BTC = 229.59000000€,-2.58%
2015-10-21,1 BTC = 232.53000000€,1.26%
2015-10-22,1 BTC = 237.44000000€,2.07%
2015-10-23,1 BTC = 234.78000000€,-1.13%
2015-10-24,1 BTC = 246.46000000€,4.74%
2015-10-25,1 BTC = 250.32000000€,1.54%
2015-10-26,1 BTC = 255.85000000€,2.16%
2015-10-27,1 BTC = 260.05000000€,1.62%
2015-10-28,1 BTC = 257.79000000€,-0.88%
2015-10-29,1 BTC = 265.79000000€,3.01%
2015-10-30,1 BTC = 276.79000000€,3.97%
2015-10-31,1 BTC = 284.68000000€,2.77%
2015-11-01,1 BTC = 296.65000000€,4.04%
2015-11-02,1 BTC = 282.41000000€,-5.04%
2015-11-03,1 BTC = 296.09000000€,4.62%
2015-11-04,1 BTC = 318.50000000€,7.04%
2015-11-05,1 BTC = 360.02000000€,11.53%
2015-11-06,1 BTC = 368.09000000€,2.19%
2015-11-07,1 BTC = 349.52000000€,-5.31%
2015-11-08,1 BTC = 342.73000000€,-1.98%
2015-11-09,1 BTC = 357.93000000€,4.25%
2015-11-10,1 BTC = 346.22000000€,-3.38%
2015-11-11,1 BTC = 352.13000000€,1.68%
2015-11-12,1 BTC = 315.33000000€,-11.67%
2015-11-13,1 BTC = 286.21000000€,-10.17%
2015-11-14,1 BTC = 309.10000000€,7.41%
2015-11-15,1 BTC = 312.61000000€,1.12%
2015-11-16,1 BTC = 309.63000000€,-0.96%
2015-11-17,1 BTC = 298.41000000€,-3.76%
2015-11-18,1 BTC = 309.68000000€,3.64%
2015-11-19,1 BTC = 314.69000000€,1.59%
2015-11-20,1 BTC = 315.92000000€,0.39%
2015-11-21,1 BTC = 304.28000000€,-3.83%
2015-11-22,1 BTC = 301.92000000€,-0.78%
2015-11-23,1 BTC = 305.75000000€,1.25%
2015-11-24,1 BTC = 304.27000000€,-0.49%
2015-11-25,1 BTC = 304.01000000€,-0.09%
2015-11-26,1 BTC = 300.15000000€,-1.29%
2015-11-27,1 BTC = 308.84000000€,2.81%
2015-11-28,1 BTC = 336.43000000€,8.2%
2015-11-29,1 BTC = 340.90000000€,1.31%
2015-11-30,1 BTC = 337.09000000€,-1.13%
2015-12-01,1 BTC = 351.09000000€,3.99%
2015-12-02,1 BTC = 357.20000000€,1.71%
2015-12-03,1 BTC = 342.33000000€,-4.34%
2015-12-04,1 BTC = 339.90000000€,-0.71%
2015-12-05,1 BTC = 331.71000000€,-2.47%
2015-12-06,1 BTC = 334.91000000€,0.96%
2015-12-07,1 BTC = 352.72000000€,5.05%
2015-12-08,1 BTC = 361.74000000€,2.49%
2015-12-09,1 BTC = 363.80000000€,0.57%
2015-12-10,1 BTC = 376.84000000€,3.46%
2015-12-11,1 BTC = 377.31000000€,0.12%
2015-12-12,1 BTC = 379.72000000€,0.63%
2015-12-13,1 BTC = 404.58000000€,6.14%
2015-12-14,1 BTC = 393.89000000€,-2.71%
2015-12-15,1 BTC = 395.59000000€,0.43%
2015-12-16,1 BTC = 401.06000000€,1.36%
2015-12-17,1 BTC = 421.85000000€,4.93%
