Date,Prix,Variation 24h
2013-05-29,1 BTC = 101.50000000€,-0.78%
2013-05-30,1 BTC = 99.80000000€,-1.7%
2013-05-31,1 BTC = 102.00000000€,2.16%
2013-06-01,1 BTC = 99.60000000€,-2.41%
2013-06-02,1 BTC = 99.57000000€,-0.03%
2013-06-03,1 BTC = 100.00000000€,0.43%
2013-06-04,1 BTC = 95.49000000€,-4.72%
2013-06-05,1 BTC = 94.00000000€,-1.59%
2013-06-06,1 BTC = 95.00000000€,1.05%
2013-06-07,1 BTC = 93.25000000€,-1.88%
2013-06-08,1 BTC = 92.74000000€,-0.55%
2013-06-09,1 BTC = 87.00000000€,-6.6%
2013-06-10,1 BTC = 82.31000000€,-5.7%
2013-06-11,1 BTC = 76.49000000€,-7.61%
2013-06-12,1 BTC = 80.74000000€,5.26%
2013-06-13,1 BTC = 83.44000000€,3.24%
2013-06-14,1 BTC = 82.73000000€,-0.86%
2013-06-15,1 BTC = 77.53000000€,-6.71%
2013-06-16,1 BTC = 75.90000000€,-2.15%
2013-06-17,1 BTC = 75.20000000€,-0.93%
2013-06-18,1 BTC = 74.65000000€,-0.74%
2013-06-19,1 BTC = 76.79000000€,2.79%
2013-06-20,1 BTC = 80.07000000€,4.1%
2013-06-21,1 BTC = 80.12000000€,0.06%
2013-06-22,1 BTC = 82.00000000€,2.29%
2013-06-23,1 BTC = 82.70000000€,0.85%
2013-06-24,1 BTC = 81.00000000€,-2.1%
2013-06-25,1 BTC = 80.90000000€,-0.12%
2013-06-26,1 BTC = 77.09000000€,-4.94%
2013-06-27,1 BTC = 79.44000000€,2.96%
2013-06-28,1 BTC = 78.91000000€,-0.67%
2013-06-29,1 BTC = 77.50000000€,-1.82%
2013-06-30,1 BTC = 72.50000000€,-6.9%
2013-07-01,1 BTC = 71.50000000€,-1.4%
2013-07-02,1 BTC = 73.90000000€,3.25%
2013-07-03,1 BTC = 66.32000000€,-11.43%
2013-07-04,1 BTC = 69.00000000€,3.88%
2013-07-05,1 BTC = 60.00000000€,-15%
2013-07-06,1 BTC = 61.43000000€,2.33%
2013-07-07,1 BTC = 53.54000000€,-14.74%
2013-07-08,1 BTC = 53.60000000€,0.11%
2013-07-09,1 BTC = 59.00000000€,9.15%
2013-07-10,1 BTC = 59.60000000€,1.01%
2013-07-11,1 BTC = 60.85000000€,2.05%
2013-07-12,1 BTC = 68.50000000€,11.17%
2013-07-13,1 BTC = 68.76000000€,0.38%
2013-07-14,1 BTC = 72.60000000€,5.29%
2013-07-15,1 BTC = 74.00000000€,1.89%
2013-07-16,1 BTC = 73.44000000€,-0.76%
2013-07-17,1 BTC = 74.59000000€,1.54%
2013-07-18,1 BTC = 73.81000000€,-1.06%
2013-07-19,1 BTC = 75.30000000€,1.98%
2013-07-20,1 BTC = 70.65000000€,-6.58%
2013-07-21,1 BTC = 70.15000000€,-0.71%
2013-07-22,1 BTC = 69.80000000€,-0.5%
2013-07-23,1 BTC = 69.27000000€,-0.77%
2013-07-24,1 BTC = 70.00000000€,1.04%
2013-07-25,1 BTC = 73.00000000€,4.11%
2013-07-26,1 BTC = 71.99000000€,-1.4%
2013-07-27,1 BTC = 72.98000000€,1.36%
2013-07-28,1 BTC = 72.36000000€,-0.86%
2013-07-29,1 BTC = 70.50000000€,-2.64%
2013-07-30,1 BTC = 74.00000000€,4.73%
2013-07-31,1 BTC = 75.37000000€,1.82%
2013-08-01,1 BTC = 79.48000000€,5.17%
2013-08-02,1 BTC = 77.80000000€,-2.16%
2013-08-03,1 BTC = 78.00000000€,0.26%
2013-08-04,1 BTC = 78.50000000€,0.64%
2013-08-05,1 BTC = 77.58000000€,-1.19%
2013-08-06,1 BTC = 78.10000000€,0.67%
2013-08-07,1 BTC = 80.95000000€,3.52%
2013-08-08,1 BTC = 79.20000000€,-2.21%
2013-08-09,1 BTC = 79.00000000€,-0.25%
2013-08-10,1 BTC = 77.80000000€,-1.54%
2013-08-11,1 BTC = 76.89000000€,-1.18%
2013-08-12,1 BTC = 76.90000000€,0.01%
